school_id,year,state,district,school_type,location,management,enrollment_boys,enrollment_girls,total_enrollment,num_teachers,pupil_teacher_ratio,num_classrooms,has_electricity,has_drinking_water,has_toilet_boys,has_toilet_girls,has_library,has_computer_lab,has_playground,has_boundary_wall,infrastructure_score,gender_parity_index,dropout_rate_boys,dropout_rate_girls,avg_dropout_rate,dropout_risk
SCH00004,2023,Bihar,Bihar_District_4,Higher Secondary,Rural,Private,373,315,688,24,28.67,19,0,1,1,1,1,0,1,1,0.75,0.845,6.3,4.36,5.33,Low
SCH00004,2024,Bihar,Bihar_District_4,Higher Secondary,Rural,Private,325,401,726,28,25.93,19,0,1,1,1,1,0,0,1,0.625,1.234,21.82,18.3,20.06,High
SCH00005,2022,Manipur,Manipur_District_2,Secondary,Urban,Aided,412,342,754,30,25.13,16,1,1,1,1,1,1,1,1,1.0,0.83,14.12,16.63,15.37,Medium
SCH00005,2023,Manipur,Manipur_District_2,Secondary,Urban,Aided,393,419,812,25,32.48,21,0,1,0,1,1,0,1,0,0.5,1.066,45.82,41.51,43.66,High
SCH00005,2024,Manipur,Manipur_District_2,Secondary,Urban,Aided,380,341,721,29,24.86,21,1,0,0,1,1,1,1,1,0.75,0.897,0.0,0.0,0.0,Low
SCH00006,2022,Delhi,Delhi_District_2,Upper Primary,Rural,Government,84,81,165,5,33.0,4,0,1,1,1,1,1,1,1,0.875,0.964,15.49,11.47,13.48,Medium
SCH00006,2023,Delhi,Delhi_District_2,Upper Primary,Rural,Government,74,70,144,5,28.8,3,0,0,1,1,0,0,1,0,0.375,0.946,24.01,24.2,24.11,High
SCH00006,2024,Delhi,Delhi_District_2,Upper Primary,Rural,Government,88,98,186,6,31.0,4,1,1,1,0,1,0,1,1,0.75,1.114,20.05,27.24,23.65,High
SCH00007,2022,Telangana,Telangana_District_3,Upper Primary,Rural,Government,42,42,84,2,42.0,3,1,1,1,0,1,1,1,1,0.875,1.0,14.08,20.49,17.28,Medium
SCH00007,2023,Telangana,Telangana_District_3,Upper Primary,Rural,Government,45,40,85,3,28.33,3,0,1,1,1,0,0,0,0,0.375,0.889,22.06,20.19,21.13,High
SCH00007,2024,Telangana,Telangana_District_3,Upper Primary,Rural,Government,47,41,88,2,44.0,3,1,1,1,1,1,0,1,1,0.875,0.872,21.6,22.69,22.14,High
SCH00008,2022,Assam,Assam_District_4,Primary,Urban,Private,140,159,299,7,42.71,7,0,1,1,1,0,1,1,1,0.75,1.136,28.4,31.45,29.93,High
SCH00008,2023,Assam,Assam_District_4,Primary,Urban,Private,146,149,295,7,42.14,7,1,1,1,1,1,1,1,1,1.0,1.021,10.68,7.72,9.2,Low
SCH00008,2024,Assam,Assam_District_4,Primary,Urban,Private,139,158,297,9,33.0,7,1,0,1,1,0,1,0,0,0.5,1.137,8.64,4.39,6.51,Low
SCH00009,2022,Assam,Assam_District_1,Primary,Rural,Government,271,277,548,20,27.4,15,0,1,1,1,0,0,1,1,0.625,1.022,18.57,14.78,16.67,Medium
SCH00009,2023,Assam,Assam_District_1,Primary,Rural,Government,299,296,595,20,29.75,15,1,1,0,0,0,0,1,0,0.375,0.99,26.76,42.15,34.46,High
SCH00009,2024,Assam,Assam_District_1,Primary,Rural,Government,296,253,549,18,30.5,17,1,1,1,1,1,1,1,1,1.0,0.855,3.05,0.0,1.53,Low
SCH00010,2022,Maharashtra,Maharashtra_District_4,Secondary,Rural,Private,370,420,790,19,41.58,17,1,1,1,1,1,1,1,1,1.0,1.135,23.28,24.21,23.75,High
SCH00010,2023,Maharashtra,Maharashtra_District_4,Secondary,Rural,Private,335,381,716,21,34.1,14,0,1,1,1,1,1,1,0,0.75,1.137,4.82,0.93,2.87,Low
SCH00010,2024,Maharashtra,Maharashtra_District_4,Secondary,Rural,Private,352,364,716,21,34.1,16,0,1,1,1,1,0,1,0,0.625,1.034,9.18,5.46,7.32,Low
SCH00011,2022,Himachal Pradesh,Himachal Pradesh_District_5,Upper Primary,Rural,Government,176,174,350,9,38.89,7,1,1,1,0,1,0,1,1,0.75,0.989,25.15,35.49,30.32,High
SCH00011,2023,Himachal Pradesh,Himachal Pradesh_District_5,Upper Primary,Rural,Government,188,170,358,10,35.8,7,1,0,1,1,0,0,1,0,0.5,0.904,22.76,18.57,20.66,High
SCH00011,2024,Himachal Pradesh,Himachal Pradesh_District_5,Upper Primary,Rural,Government,188,190,378,9,42.0,8,1,1,1,1,1,1,1,0,0.875,1.011,18.91,16.41,17.66,Medium
SCH00012,2022,Manipur,Manipur_District_1,Primary,Rural,Government,271,266,537,18,29.83,17,0,1,1,1,1,1,0,1,0.75,0.982,0.9,0.0,0.45,Low
SCH00012,2023,Manipur,Manipur_District_1,Primary,Rural,Government,290,293,583,15,38.87,11,1,1,1,1,1,0,0,1,0.75,1.01,5.16,1.1,3.13,Low
SCH00012,2024,Manipur,Manipur_District_1,Primary,Rural,Government,281,269,550,14,39.29,16,0,0,1,1,1,0,1,1,0.625,0.957,33.93,42.38,38.16,High
SCH00013,2022,Maharashtra,Maharashtra_District_4,Secondary,Rural,Private,305,272,577,14,41.21,12,1,1,1,1,0,0,1,1,0.75,0.892,19.15,15.93,17.54,Medium
SCH00013,2023,Maharashtra,Maharashtra_District_4,Secondary,Rural,Private,327,338,665,16,41.56,20,1,1,1,0,1,0,1,1,0.75,1.034,32.41,41.45,36.93,High
SCH00013,2024,Maharashtra,Maharashtra_District_4,Secondary,Rural,Private,309,285,594,17,34.94,12,1,1,0,1,0,0,1,0,0.5,0.922,25.96,28.16,27.06,High
SCH00014,2022,West Bengal,West Bengal_District_2,Secondary,Rural,Private,150,163,313,6,52.17,7,1,1,0,1,1,0,1,1,0.75,1.087,29.85,31.72,30.78,High
SCH00014,2023,West Bengal,West Bengal_District_2,Secondary,Rural,Private,152,172,324,7,46.29,8,0,1,1,0,1,0,1,1,0.625,1.132,27.57,32.62,30.09,High
SCH00014,2024,West Bengal,West Bengal_District_2,Secondary,Rural,Private,143,165,308,6,51.33,8,1,1,1,1,0,0,1,1,0.75,1.154,14.34,12.67,13.5,Medium
SCH00015,2022,Himachal Pradesh,Himachal Pradesh_District_2,Higher Secondary,Rural,Government,72,62,134,3,44.67,3,1,1,1,1,1,0,1,1,0.875,0.861,20.88,20.34,20.61,High
SCH00015,2023,Himachal Pradesh,Himachal Pradesh_District_2,Higher Secondary,Rural,Government,66,64,130,3,43.33,4,1,1,1,1,1,1,1,1,1.0,0.97,33.54,31.95,32.75,High
SCH00015,2024,Himachal Pradesh,Himachal Pradesh_District_2,Higher Secondary,Rural,Government,62,65,127,4,31.75,3,0,1,1,1,1,1,1,1,0.875,1.048,9.17,6.5,7.83,Low
SCH00016,2022,Uttar Pradesh,Uttar Pradesh_District_5,Secondary,Rural,Private,191,153,344,9,38.22,8,0,1,1,1,1,0,1,1,0.75,0.801,16.94,18.25,17.59,Medium
SCH00016,2023,Uttar Pradesh,Uttar Pradesh_District_5,Secondary,Rural,Private,190,148,338,9,37.56,8,0,1,0,1,1,1,0,0,0.5,0.779,25.57,26.37,25.97,High
SCH00016,2024,Uttar Pradesh,Uttar Pradesh_District_5,Secondary,Rural,Private,173,167,340,8,42.5,10,1,1,1,1,1,0,1,1,0.875,0.965,11.17,6.38,8.78,Low
SCH00017,2022,Arunachal Pradesh,Arunachal Pradesh_District_2,Secondary,Rural,Government,196,212,408,13,31.38,9,0,1,1,1,0,0,0,1,0.5,1.082,5.48,2.17,3.83,Low
SCH00017,2023,Arunachal Pradesh,Arunachal Pradesh_District_2,Secondary,Rural,Government,177,219,396,14,28.29,10,0,1,1,1,0,0,1,0,0.5,1.237,26.9,32.12,29.51,High
SCH00017,2024,Arunachal Pradesh,Arunachal Pradesh_District_2,Secondary,Rural,Government,194,227,421,14,30.07,9,0,1,1,1,1,0,1,1,0.75,1.17,20.55,15.83,18.19,Medium
SCH00018,2022,Uttarakhand,Uttarakhand_District_3,Primary,Rural,Government,370,386,756,21,36.0,17,1,1,1,1,1,0,1,1,0.875,1.043,20.07,20.38,20.23,High
SCH00018,2023,Uttarakhand,Uttarakhand_District_3,Primary,Rural,Government,408,411,819,20,40.95,20,0,0,0,1,1,0,0,0,0.25,1.007,49.78,50.0,49.89,High
SCH00018,2024,Uttarakhand,Uttarakhand_District_3,Primary,Rural,Government,349,376,725,22,32.95,24,0,1,1,1,1,0,1,0,0.625,1.077,8.8,4.23,6.52,Low
SCH00019,2022,Goa,Goa_District_2,Primary,Urban,Government,416,450,866,20,43.3,27,1,1,1,1,0,0,1,0,0.625,1.082,19.12,15.78,17.45,Medium
SCH00019,2023,Goa,Goa_District_2,Primary,Urban,Government,388,363,751,19,39.53,18,1,1,1,1,1,0,1,1,0.875,0.936,24.55,24.05,24.3,High
SCH00019,2024,Goa,Goa_District_2,Primary,Urban,Government,354,343,697,21,33.19,22,1,1,1,1,0,0,1,0,0.625,0.969,14.41,10.04,12.22,Medium
SCH00020,2022,Arunachal Pradesh,Arunachal Pradesh_District_1,Primary,Urban,Government,149,142,291,8,36.38,6,1,1,1,0,0,0,0,1,0.5,0.953,20.31,26.17,23.24,High
SCH00020,2023,Arunachal Pradesh,Arunachal Pradesh_District_1,Primary,Urban,Government,133,160,293,7,41.86,6,0,1,1,1,0,1,1,0,0.625,1.203,20.22,16.16,18.19,Medium
SCH00020,2024,Arunachal Pradesh,Arunachal Pradesh_District_1,Primary,Urban,Government,120,134,254,7,36.29,8,1,1,1,0,1,1,0,1,0.75,1.117,0.0,5.0,2.5,Low
SCH00021,2022,Chhattisgarh,Chhattisgarh_District_4,Upper Primary,Urban,Government,34,42,76,3,25.33,3,1,0,0,1,1,1,1,1,0.75,1.235,3.42,0.0,1.71,Low
SCH00021,2023,Chhattisgarh,Chhattisgarh_District_4,Upper Primary,Urban,Government,39,30,69,3,23.0,3,1,1,0,1,1,0,1,1,0.75,0.769,0.0,0.0,0.0,Low
SCH00021,2024,Chhattisgarh,Chhattisgarh_District_4,Upper Primary,Urban,Government,38,36,74,2,37.0,3,1,1,1,1,1,0,1,1,0.875,0.947,19.56,20.51,20.03,High
SCH00022,2022,Bihar,Bihar_District_1,Higher Secondary,Rural,Aided,225,182,407,12,33.92,10,0,1,0,1,0,0,1,1,0.5,0.809,22.58,24.13,23.35,High
SCH00022,2023,Bihar,Bihar_District_1,Higher Secondary,Rural,Aided,216,212,428,13,32.92,9,0,1,0,1,1,0,1,1,0.625,0.981,6.99,2.97,4.98,Low
SCH00022,2024,Bihar,Bihar_District_1,Higher Secondary,Rural,Aided,177,193,370,12,30.83,8,0,1,0,0,1,1,0,1,0.5,1.09,19.3,29.78,24.54,High
SCH00023,2022,Karnataka,Karnataka_District_4,Upper Primary,Rural,Private,79,85,164,3,54.67,3,1,1,0,0,0,0,1,0,0.375,1.076,28.18,40.61,34.4,High
SCH00023,2023,Karnataka,Karnataka_District_4,Upper Primary,Rural,Private,80,78,158,4,39.5,3,1,1,1,0,0,0,1,1,0.625,0.975,14.41,21.86,18.14,Medium
SCH00023,2024,Karnataka,Karnataka_District_4,Upper Primary,Rural,Private,75,79,154,4,38.5,3,1,1,1,1,1,0,0,1,0.75,1.053,30.81,34.85,32.83,High
SCH00024,2022,Bihar,Bihar_District_2,Higher Secondary,Rural,Private,177,185,362,11,32.91,7,1,1,1,1,0,0,1,0,0.625,1.045,25.04,27.79,26.41,High
SCH00024,2023,Bihar,Bihar_District_2,Higher Secondary,Rural,Private,175,162,337,10,33.7,10,0,1,1,1,0,0,1,0,0.5,0.926,25.78,25.67,25.72,High
SCH00024,2024,Bihar,Bihar_District_2,Higher Secondary,Rural,Private,196,189,385,10,38.5,11,1,0,1,1,0,0,1,1,0.625,0.964,33.78,29.34,31.56,High
SCH00025,2022,Andhra Pradesh,Andhra Pradesh_District_4,Primary,Rural,Private,96,86,182,3,60.67,4,0,0,1,1,0,1,1,0,0.5,0.896,27.47,30.09,28.78,High
SCH00025,2023,Andhra Pradesh,Andhra Pradesh_District_4,Primary,Rural,Private,101,90,191,4,47.75,4,1,0,1,1,1,0,1,1,0.75,0.891,25.74,27.51,26.63,High
SCH00025,2024,Andhra Pradesh,Andhra Pradesh_District_4,Primary,Rural,Private,87,94,181,4,45.25,3,1,1,1,1,0,1,1,1,0.875,1.08,17.8,16.68,17.24,Medium
SCH00026,2022,Manipur,Manipur_District_1,Secondary,Rural,Private,92,88,180,4,45.0,5,0,1,1,1,0,0,1,1,0.625,0.957,20.0,18.05,19.03,Medium
SCH00026,2023,Manipur,Manipur_District_1,Secondary,Rural,Private,95,98,193,5,38.6,4,1,1,0,0,0,0,1,0,0.375,1.032,22.49,28.4,25.44,High
SCH00026,2024,Manipur,Manipur_District_1,Secondary,Rural,Private,91,88,179,5,35.8,4,0,1,1,1,1,0,0,1,0.625,0.967,23.42,25.07,24.25,High
SCH00027,2022,Meghalaya,Meghalaya_District_1,Upper Primary,Rural,Aided,71,62,133,4,33.25,3,1,1,1,1,1,0,1,1,0.875,0.873,8.25,5.97,7.11,Low
SCH00027,2023,Meghalaya,Meghalaya_District_1,Upper Primary,Rural,Aided,67,62,129,3,43.0,3,0,1,1,1,0,0,1,1,0.625,0.925,26.16,25.25,25.7,High
SCH00027,2024,Meghalaya,Meghalaya_District_1,Upper Primary,Rural,Aided,67,67,134,4,33.5,3,1,1,1,1,0,0,1,1,0.75,1.0,9.35,5.19,7.27,Low
SCH00028,2022,Gujarat,Gujarat_District_3,Higher Secondary,Rural,Private,277,298,575,19,30.26,14,0,0,1,1,1,0,1,1,0.625,1.076,10.88,8.65,9.76,Low
SCH00028,2023,Gujarat,Gujarat_District_3,Higher Secondary,Rural,Private,277,273,550,23,23.91,18,1,1,1,1,0,0,0,1,0.625,0.986,8.81,4.72,6.76,Low
SCH00028,2024,Gujarat,Gujarat_District_3,Higher Secondary,Rural,Private,321,289,610,18,33.89,19,0,1,1,1,0,0,1,1,0.625,0.9,16.19,16.84,16.51,Medium
SCH00029,2022,Tamil Nadu,Tamil Nadu_District_3,Upper Primary,Rural,Aided,73,77,150,4,37.5,3,1,0,1,1,0,0,0,0,0.375,1.055,29.99,30.74,30.36,High
SCH00029,2023,Tamil Nadu,Tamil Nadu_District_3,Upper Primary,Rural,Aided,73,75,148,4,37.0,4,1,1,1,0,1,0,0,0,0.5,1.027,29.68,41.73,35.7,High
SCH00029,2024,Tamil Nadu,Tamil Nadu_District_3,Upper Primary,Rural,Aided,87,76,163,3,54.33,5,1,1,1,1,0,0,1,1,0.75,0.874,9.15,4.43,6.79,Low
SCH00030,2022,Arunachal Pradesh,Arunachal Pradesh_District_2,Upper Primary,Rural,Private,384,323,707,20,35.35,17,1,0,1,1,0,0,1,1,0.625,0.841,21.92,20.01,20.97,High
SCH00030,2023,Arunachal Pradesh,Arunachal Pradesh_District_2,Upper Primary,Rural,Private,322,283,605,21,28.81,18,0,1,0,1,1,1,1,1,0.75,0.879,23.57,19.5,21.53,High
SCH00030,2024,Arunachal Pradesh,Arunachal Pradesh_District_2,Upper Primary,Rural,Private,305,332,637,19,33.53,16,1,1,1,1,1,0,1,1,0.875,1.089,12.73,12.01,12.37,Medium
SCH00031,2022,Nagaland,Nagaland_District_4,Higher Secondary,Urban,Private,361,361,722,23,31.39,17,1,0,0,1,0,0,0,1,0.375,1.0,13.58,10.19,11.89,Medium
SCH00031,2023,Nagaland,Nagaland_District_4,Higher Secondary,Urban,Private,396,374,770,19,40.53,24,1,1,1,0,0,1,0,1,0.625,0.944,25.39,36.73,31.06,High
SCH00031,2024,Nagaland,Nagaland_District_4,Higher Secondary,Urban,Private,356,366,722,23,31.39,16,1,0,1,1,0,1,1,1,0.75,1.028,20.97,21.47,21.22,High
SCH00032,2022,Odisha,Odisha_District_2,Secondary,Rural,Government,352,317,669,25,26.76,15,1,0,1,1,0,0,0,1,0.5,0.901,28.75,35.0,31.87,High
SCH00032,2023,Odisha,Odisha_District_2,Secondary,Rural,Government,379,304,683,21,32.52,15,0,1,1,0,1,0,1,1,0.625,0.802,25.83,41.5,33.66,High
SCH00032,2024,Odisha,Odisha_District_2,Secondary,Rural,Government,336,305,641,23,27.87,13,1,1,1,1,1,1,0,0,0.75,0.908,10.03,6.28,8.16,Low
SCH00033,2022,Uttarakhand,Uttarakhand_District_2,Secondary,Rural,Private,73,76,149,4,37.25,4,1,1,1,0,0,1,1,1,0.75,1.041,20.8,29.05,24.93,High
SCH00033,2023,Uttarakhand,Uttarakhand_District_2,Secondary,Rural,Private,82,74,156,3,52.0,3,0,1,1,1,0,1,1,1,0.75,0.902,26.46,29.98,28.22,High
SCH00033,2024,Uttarakhand,Uttarakhand_District_2,Secondary,Rural,Private,81,73,154,3,51.33,4,0,1,1,1,1,0,1,1,0.75,0.901,31.11,38.53,34.82,High
SCH00034,2022,Arunachal Pradesh,Arunachal Pradesh_District_2,Primary,Rural,Private,321,369,690,19,36.32,16,0,1,1,0,0,1,0,1,0.5,1.15,29.05,37.06,33.05,High
SCH00034,2023,Arunachal Pradesh,Arunachal Pradesh_District_2,Primary,Rural,Private,375,354,729,20,36.45,18,0,0,0,1,1,0,1,1,0.5,0.944,32.16,35.61,33.89,High
SCH00034,2024,Arunachal Pradesh,Arunachal Pradesh_District_2,Primary,Rural,Private,353,309,662,17,38.94,18,0,1,1,1,1,0,0,1,0.625,0.875,14.41,14.64,14.53,Medium
SCH00035,2022,Manipur,Manipur_District_1,Higher Secondary,Rural,Private,55,65,120,3,40.0,3,1,1,1,1,0,1,0,1,0.75,1.182,6.08,1.36,3.72,Low
SCH00035,2023,Manipur,Manipur_District_1,Higher Secondary,Rural,Private,52,60,112,3,37.33,3,0,1,1,0,1,0,0,1,0.5,1.154,33.32,50.0,41.66,High
SCH00035,2024,Manipur,Manipur_District_1,Higher Secondary,Rural,Private,65,58,123,3,41.0,3,0,1,1,1,0,0,0,0,0.375,0.892,24.98,22.03,23.51,High
SCH00036,2022,Uttarakhand,Uttarakhand_District_3,Upper Primary,Rural,Government,248,177,425,12,35.42,8,1,1,0,1,1,0,1,1,0.75,0.714,32.0,33.67,32.83,High
SCH00036,2023,Uttarakhand,Uttarakhand_District_3,Upper Primary,Rural,Government,231,233,464,12,38.67,9,1,1,1,1,0,0,1,0,0.625,1.009,14.63,14.86,14.74,Medium
SCH00036,2024,Uttarakhand,Uttarakhand_District_3,Upper Primary,Rural,Government,206,217,423,11,38.45,8,1,1,1,1,1,1,1,0,0.875,1.053,14.87,10.84,12.86,Medium
SCH00037,2022,Goa,Goa_District_1,Primary,Rural,Government,350,407,757,27,28.04,17,0,1,1,1,0,0,1,0,0.5,1.163,14.48,11.49,12.99,Medium
SCH00037,2023,Goa,Goa_District_1,Primary,Rural,Government,371,377,748,25,29.92,15,0,1,1,0,1,0,1,0,0.5,1.016,15.71,22.14,18.93,Medium
SCH00037,2024,Goa,Goa_District_1,Primary,Rural,Government,364,381,745,27,27.59,20,0,0,1,1,1,0,1,1,0.625,1.047,21.18,20.93,21.06,High
SCH00038,2022,Goa,Goa_District_2,Higher Secondary,Rural,Government,294,249,543,13,41.77,12,1,1,1,1,1,1,1,0,0.875,0.847,24.2,25.15,24.68,High
SCH00038,2023,Goa,Goa_District_2,Higher Secondary,Rural,Government,280,272,552,16,34.5,13,0,1,0,1,0,0,0,0,0.25,0.971,26.6,31.1,28.85,High
SCH00038,2024,Goa,Goa_District_2,Higher Secondary,Rural,Government,235,276,511,13,39.31,12,1,1,1,0,1,1,0,0,0.625,1.174,32.68,48.53,40.61,High
SCH00039,2022,Meghalaya,Meghalaya_District_2,Primary,Rural,Private,246,260,506,14,36.14,12,1,1,1,1,1,0,1,1,0.875,1.057,30.83,32.08,31.45,High
SCH00039,2023,Meghalaya,Meghalaya_District_2,Primary,Rural,Private,222,218,440,14,31.43,14,0,1,1,1,1,0,1,0,0.625,0.982,18.89,13.93,16.41,Medium
SCH00039,2024,Meghalaya,Meghalaya_District_2,Primary,Rural,Private,201,197,398,14,28.43,8,1,1,1,1,0,0,1,0,0.625,0.98,13.85,12.74,13.3,Medium
SCH00040,2022,Delhi,Delhi_District_1,Primary,Urban,Government,115,115,230,5,46.0,4,1,1,0,1,0,0,0,1,0.5,1.0,28.61,31.47,30.04,High
SCH00040,2023,Delhi,Delhi_District_1,Primary,Urban,Government,97,104,201,5,40.2,5,1,0,0,1,1,1,1,1,0.75,1.072,19.21,19.1,19.16,Medium
SCH00040,2024,Delhi,Delhi_District_1,Primary,Urban,Government,120,121,241,5,48.2,5,0,1,0,0,1,0,1,1,0.5,1.008,20.15,25.5,22.83,High
SCH00041,2022,Uttarakhand,Uttarakhand_District_2,Primary,Rural,Government,253,233,486,12,40.5,13,1,1,1,1,1,0,1,0,0.75,0.921,31.69,35.41,33.55,High
SCH00041,2023,Uttarakhand,Uttarakhand_District_2,Primary,Rural,Government,207,209,416,14,29.71,11,0,0,1,1,0,0,1,0,0.375,1.01,30.24,29.65,29.94,High
SCH00041,2024,Uttarakhand,Uttarakhand_District_2,Primary,Rural,Government,236,234,470,11,42.73,11,0,1,1,1,0,0,1,0,0.5,0.992,9.57,8.02,8.79,Low
SCH00042,2022,Mizoram,Mizoram_District_5,Upper Primary,Rural,Government,406,363,769,19,40.47,20,1,1,0,1,1,0,1,1,0.75,0.894,16.16,12.42,14.29,Medium
SCH00042,2023,Mizoram,Mizoram_District_5,Upper Primary,Rural,Government,306,362,668,20,33.4,18,1,0,1,1,1,0,1,1,0.75,1.183,9.16,5.61,7.39,Low
SCH00042,2024,Mizoram,Mizoram_District_5,Upper Primary,Rural,Government,313,331,644,22,29.27,13,1,1,1,0,1,0,1,0,0.625,1.058,17.97,24.04,21.01,High
SCH00043,2022,Delhi,Delhi_District_2,Higher Secondary,Rural,Private,294,312,606,17,35.65,15,1,1,1,1,1,0,1,1,0.875,1.061,28.33,33.45,30.89,High
SCH00043,2023,Delhi,Delhi_District_2,Higher Secondary,Rural,Private,309,312,621,18,34.5,12,0,1,1,1,1,0,0,1,0.625,1.01,12.36,8.41,10.39,Medium
SCH00043,2024,Delhi,Delhi_District_2,Higher Secondary,Rural,Private,310,359,669,19,35.21,18,0,1,1,1,0,1,1,1,0.75,1.158,12.86,10.37,11.62,Medium
SCH00044,2022,Jharkhand,Jharkhand_District_2,Higher Secondary,Rural,Government,60,61,121,4,30.25,3,1,0,1,1,1,0,0,1,0.625,1.017,20.69,18.02,19.36,Medium
SCH00044,2023,Jharkhand,Jharkhand_District_2,Higher Secondary,Rural,Government,71,65,136,3,45.33,3,0,1,1,1,0,1,0,1,0.625,0.915,33.4,29.36,31.38,High
SCH00044,2024,Jharkhand,Jharkhand_District_2,Higher Secondary,Rural,Government,60,68,128,4,32.0,3,0,0,1,1,1,0,0,1,0.5,1.133,33.91,33.22,33.57,High
SCH00045,2022,Chhattisgarh,Chhattisgarh_District_2,Primary,Rural,Government,173,180,353,6,58.83,7,1,0,1,1,1,1,1,1,0.875,1.04,18.01,13.31,15.66,Medium
SCH00045,2023,Chhattisgarh,Chhattisgarh_District_2,Primary,Rural,Government,188,189,377,7,53.86,10,1,1,1,0,1,1,0,1,0.75,1.005,21.73,27.64,24.69,High
SCH00045,2024,Chhattisgarh,Chhattisgarh_District_2,Primary,Rural,Government,167,183,350,7,50.0,8,1,0,1,0,1,0,1,1,0.625,1.096,33.2,48.21,40.7,High
SCH00046,2022,Kerala,Kerala_District_2,Primary,Rural,Private,160,166,326,8,40.75,10,0,1,1,1,1,0,1,0,0.625,1.038,23.59,25.28,24.43,High
SCH00046,2023,Kerala,Kerala_District_2,Primary,Rural,Private,159,163,322,8,40.25,9,0,1,0,1,1,0,0,0,0.375,1.025,17.89,15.63,16.76,Medium
SCH00046,2024,Kerala,Kerala_District_2,Primary,Rural,Private,147,154,301,7,43.0,6,0,1,1,1,1,1,1,1,0.875,1.048,20.09,19.96,20.02,High
SCH00047,2022,Meghalaya,Meghalaya_District_2,Primary,Rural,Government,135,110,245,6,40.83,5,1,1,1,1,1,1,1,0,0.875,0.815,9.9,11.79,10.85,Medium
SCH00047,2023,Meghalaya,Meghalaya_District_2,Primary,Rural,Government,132,117,249,6,41.5,5,1,1,1,0,1,0,1,1,0.75,0.886,11.48,18.39,14.94,Medium
SCH00047,2024,Meghalaya,Meghalaya_District_2,Primary,Rural,Government,123,129,252,6,42.0,5,1,1,1,0,1,1,1,1,0.875,1.049,0.0,5.0,2.5,Low
SCH00048,2022,Gujarat,Gujarat_District_4,Higher Secondary,Urban,Aided,360,376,736,15,49.07,17,1,1,1,1,1,1,1,1,1.0,1.044,19.79,20.78,20.28,High
SCH00048,2023,Gujarat,Gujarat_District_4,Higher Secondary,Urban,Aided,347,370,717,18,39.83,16,0,1,1,1,0,0,1,1,0.625,1.066,20.03,16.81,18.42,Medium
SCH00048,2024,Gujarat,Gujarat_District_4,Higher Secondary,Urban,Aided,385,359,744,17,43.76,24,1,1,0,1,0,1,1,0,0.625,0.932,4.84,1.32,3.08,Low
SCH00049,2022,Chhattisgarh,Chhattisgarh_District_3,Higher Secondary,Rural,Government,325,331,656,16,41.0,17,0,1,0,1,0,0,0,0,0.25,1.018,20.74,23.63,22.19,High
SCH00049,2023,Chhattisgarh,Chhattisgarh_District_3,Higher Secondary,Rural,Government,331,336,667,17,39.24,18,1,1,1,1,1,1,1,1,1.0,1.015,24.49,21.31,22.9,High
SCH00049,2024,Chhattisgarh,Chhattisgarh_District_3,Higher Secondary,Rural,Government,341,284,625,13,48.08,12,0,1,1,1,0,1,1,1,0.75,0.833,4.77,3.58,4.18,Low
